service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20200421,20200515
14,0,0,0,0,0,1,0,20200421,20200515
20,0,0,0,0,0,0,1,20200421,20200515
21,0,0,0,0,0,0,1,20200421,20200515
56,0,0,0,0,0,1,0,20200421,20200515
57,0,0,0,0,0,0,1,20200421,20200515
71,1,0,0,0,0,0,0,20200421,20200515
72,0,1,0,0,0,0,0,20200421,20200515
73,0,0,1,0,0,0,0,20200421,20200515
127,0,0,0,0,0,1,0,20200421,20200515
128,0,0,0,0,0,0,1,20200421,20200515
134,1,0,0,0,0,0,0,20200421,20200515
183,0,0,0,0,0,1,1,20200421,20200515
184,0,0,0,0,0,0,1,20200421,20200515
192,1,0,0,0,0,0,0,20200421,20200515
207,0,0,0,0,0,0,0,20200421,20200515
210,0,0,0,0,0,0,0,20200421,20200515
211,0,0,0,0,0,0,0,20200421,20200515
217,0,0,0,0,0,0,0,20200421,20200515
218,0,0,0,0,0,0,0,20200421,20200515
219,0,0,0,0,0,0,0,20200421,20200515
220,0,0,0,0,0,0,0,20200421,20200515
223,0,0,0,0,0,0,0,20200421,20200515
224,0,0,0,0,0,0,0,20200421,20200515
233,0,0,0,0,0,0,0,20200421,20200515
234,0,0,0,0,0,0,0,20200421,20200515
237,0,0,0,0,0,0,0,20200421,20200515
238,0,0,0,0,0,0,0,20200421,20200515
239,0,0,0,0,0,0,0,20200421,20200515
240,0,0,0,0,0,0,0,20200421,20200515
241,0,0,0,0,0,0,0,20200421,20200515
242,0,0,0,0,0,0,0,20200421,20200515
243,0,0,0,0,0,0,0,20200421,20200515
244,0,0,0,0,0,0,0,20200421,20200515
245,0,0,0,0,0,0,0,20200421,20200515
248,0,0,0,0,0,0,0,20200421,20200515
249,0,0,0,0,0,0,0,20200421,20200515
250,0,0,0,0,0,0,0,20200421,20200515
252,1,1,1,1,1,0,0,20200421,20200515
262,0,0,0,0,0,0,0,20200421,20200515
263,0,0,0,0,0,0,0,20200421,20200515
264,0,0,0,0,0,0,0,20200421,20200515
265,0,0,0,0,0,0,0,20200421,20200515
266,0,0,0,0,0,0,0,20200421,20200515
267,0,0,0,0,0,0,0,20200421,20200515
268,0,0,0,0,0,0,0,20200421,20200515
269,0,0,0,0,0,0,0,20200421,20200515
271,0,0,0,0,0,0,0,20200421,20200515
272,0,0,0,0,0,0,0,20200421,20200515
287,0,0,0,0,0,0,0,20200421,20200515
288,0,0,0,0,0,0,0,20200421,20200515
336,0,0,0,0,0,0,0,20200421,20200515
337,0,0,0,0,0,0,0,20200421,20200515
342,0,0,0,0,0,0,0,20200421,20200515
343,0,0,0,0,0,0,0,20200421,20200515
344,0,0,0,0,0,0,0,20200421,20200515
352,1,1,1,1,1,0,0,20200421,20200515
353,1,1,1,1,1,0,0,20200421,20200515
369,0,0,0,0,0,1,0,20200421,20200515
370,0,0,0,0,0,1,0,20200421,20200515
371,0,0,0,0,0,1,0,20200421,20200515
372,0,0,0,0,0,1,0,20200421,20200515
373,0,0,0,0,0,1,0,20200421,20200515
374,0,0,0,0,0,1,0,20200421,20200515
375,0,0,0,0,0,0,1,20200421,20200515
376,0,0,0,0,0,0,1,20200421,20200515
377,0,0,0,0,0,0,1,20200421,20200515
378,0,0,0,0,0,0,1,20200421,20200515
379,0,0,0,0,0,0,1,20200421,20200515
380,0,0,0,0,0,0,1,20200421,20200515
394,0,0,0,0,0,0,0,20200421,20200515
396,0,0,0,0,0,0,0,20200421,20200515
414,1,0,1,0,1,0,0,20200421,20200515
415,0,0,0,0,0,0,0,20200421,20200515
428,0,0,0,0,0,1,0,20200421,20200515
429,0,0,0,0,0,1,0,20200421,20200515
430,0,0,0,0,0,1,0,20200421,20200515
431,0,0,0,0,0,1,0,20200421,20200515
432,0,0,0,0,0,1,0,20200421,20200515
433,0,0,0,0,0,1,0,20200421,20200515
434,0,0,0,0,0,1,0,20200421,20200515
438,0,0,0,0,0,1,0,20200421,20200515
439,0,0,0,0,0,1,0,20200421,20200515
444,0,1,0,1,0,0,0,20200421,20200515
457,0,0,0,0,0,1,0,20200421,20200515
459,0,0,0,0,0,1,0,20200421,20200515
460,0,0,0,0,0,1,0,20200421,20200515
472,1,1,1,1,1,0,0,20200421,20200515
473,1,1,1,1,1,0,0,20200421,20200515
474,1,1,1,1,1,0,0,20200421,20200515
475,0,0,0,1,0,0,0,20200421,20200515
476,0,0,0,0,1,0,0,20200421,20200515
477,0,0,0,0,0,1,0,20200421,20200515
478,1,1,1,1,1,0,0,20200421,20200515
479,0,0,0,0,0,1,0,20200421,20200515
489,1,1,1,1,1,0,0,20200421,20200515
490,1,1,1,1,1,1,0,20200421,20200515
491,0,0,0,0,0,0,1,20200421,20200515
492,0,0,0,1,0,0,0,20200421,20200515
493,1,1,1,1,1,0,0,20200421,20200515
494,1,1,1,1,1,0,0,20200421,20200515
495,0,0,0,0,0,1,0,20200421,20200515
496,1,1,1,1,1,1,0,20200421,20200515
