service_id,date,exception_type
1,20200425,1
1,20200427,1
14,20200421,1
14,20200422,1
14,20200423,1
14,20200424,1
14,20200425,2
14,20200428,1
14,20200429,1
14,20200430,1
14,20200501,1
14,20200504,1
14,20200505,1
14,20200506,1
14,20200507,1
14,20200508,1
14,20200511,1
14,20200512,1
14,20200513,1
14,20200514,1
14,20200515,1
20,20200427,1
21,20200425,1
21,20200427,1
56,20200421,1
56,20200422,1
56,20200423,1
56,20200424,1
56,20200425,2
56,20200428,1
56,20200429,1
56,20200430,1
56,20200501,1
56,20200502,2
56,20200509,2
57,20200425,1
57,20200427,1
57,20200503,2
57,20200510,2
71,20200427,2
127,20200425,2
127,20200504,1
127,20200505,1
127,20200506,1
127,20200507,1
127,20200508,1
127,20200511,1
127,20200512,1
127,20200513,1
127,20200514,1
127,20200515,1
128,20200426,2
134,20200425,1
134,20200504,2
134,20200511,2
183,20200425,2
184,20200425,1
184,20200427,1
192,20200504,2
192,20200511,2
207,20200421,1
207,20200422,1
207,20200423,1
207,20200424,1
207,20200427,1
207,20200428,1
207,20200429,1
207,20200430,1
210,20200421,1
210,20200422,1
210,20200423,1
210,20200424,1
210,20200427,1
210,20200428,1
210,20200429,1
210,20200430,1
210,20200501,1
210,20200504,1
210,20200505,1
210,20200506,1
210,20200507,1
210,20200508,1
210,20200511,1
210,20200512,1
210,20200513,1
210,20200514,1
210,20200515,1
211,20200425,1
217,20200422,1
217,20200424,1
217,20200429,1
217,20200501,1
217,20200506,1
217,20200508,1
217,20200513,1
217,20200515,1
218,20200427,1
218,20200504,1
218,20200511,1
219,20200427,1
219,20200504,1
219,20200511,1
220,20200422,1
220,20200424,1
220,20200429,1
220,20200501,1
220,20200506,1
220,20200508,1
220,20200513,1
220,20200515,1
223,20200423,1
223,20200427,1
223,20200430,1
223,20200504,1
223,20200507,1
223,20200511,1
223,20200514,1
224,20200423,1
224,20200427,1
224,20200504,1
224,20200507,1
224,20200511,1
224,20200514,1
233,20200422,1
233,20200429,1
233,20200506,1
233,20200513,1
234,20200423,1
234,20200430,1
234,20200507,1
234,20200514,1
237,20200424,1
237,20200501,1
237,20200508,1
237,20200515,1
238,20200427,1
238,20200504,1
238,20200511,1
239,20200424,1
239,20200501,1
239,20200508,1
239,20200515,1
240,20200427,1
240,20200504,1
240,20200511,1
241,20200421,1
241,20200428,1
241,20200505,1
241,20200512,1
242,20200427,1
242,20200504,1
242,20200511,1
243,20200421,1
243,20200428,1
243,20200505,1
243,20200512,1
244,20200421,1
244,20200428,1
244,20200505,1
244,20200512,1
245,20200427,1
245,20200504,1
245,20200511,1
248,20200427,1
248,20200504,1
248,20200511,1
249,20200421,1
249,20200428,1
249,20200505,1
249,20200512,1
250,20200421,1
250,20200422,1
250,20200424,1
250,20200428,1
250,20200429,1
250,20200501,1
250,20200505,1
250,20200506,1
250,20200508,1
250,20200512,1
250,20200513,1
250,20200515,1
252,20200423,2
252,20200427,2
252,20200430,2
252,20200504,2
252,20200507,2
252,20200511,2
252,20200514,2
262,20200422,1
262,20200424,1
262,20200429,1
262,20200501,1
262,20200506,1
262,20200508,1
262,20200513,1
262,20200515,1
263,20200422,1
263,20200424,1
263,20200427,1
263,20200429,1
263,20200501,1
263,20200504,1
263,20200506,1
263,20200508,1
263,20200511,1
263,20200513,1
263,20200515,1
264,20200421,1
264,20200428,1
264,20200505,1
264,20200512,1
265,20200423,1
265,20200430,1
265,20200507,1
265,20200514,1
266,20200423,1
266,20200426,1
266,20200430,1
266,20200503,1
266,20200507,1
266,20200510,1
266,20200514,1
267,20200421,1
267,20200428,1
267,20200505,1
267,20200512,1
268,20200427,1
268,20200504,1
268,20200511,1
269,20200425,1
269,20200502,1
269,20200509,1
271,20200422,1
271,20200423,1
271,20200429,1
271,20200430,1
271,20200506,1
271,20200507,1
271,20200513,1
271,20200514,1
272,20200422,1
272,20200423,1
272,20200427,1
272,20200429,1
272,20200430,1
272,20200504,1
272,20200506,1
272,20200507,1
272,20200511,1
272,20200513,1
272,20200514,1
287,20200424,1
287,20200501,1
287,20200508,1
287,20200515,1
288,20200424,1
288,20200501,1
288,20200508,1
288,20200515,1
336,20200421,1
336,20200422,1
336,20200423,1
336,20200424,1
336,20200428,1
336,20200429,1
336,20200430,1
336,20200501,1
336,20200504,1
336,20200505,1
336,20200506,1
336,20200507,1
336,20200508,1
336,20200511,1
336,20200512,1
336,20200513,1
336,20200514,1
336,20200515,1
337,20200421,1
337,20200422,1
337,20200423,1
337,20200424,1
337,20200428,1
337,20200429,1
337,20200430,1
337,20200501,1
337,20200504,1
337,20200505,1
337,20200506,1
337,20200507,1
337,20200508,1
337,20200511,1
337,20200512,1
337,20200513,1
337,20200514,1
337,20200515,1
342,20200421,1
342,20200422,1
342,20200423,1
342,20200424,1
342,20200427,1
342,20200428,1
342,20200429,1
342,20200430,1
342,20200501,1
342,20200504,1
342,20200505,1
342,20200506,1
342,20200507,1
342,20200508,1
342,20200511,1
342,20200512,1
342,20200513,1
342,20200514,1
342,20200515,1
343,20200421,1
343,20200422,1
343,20200423,1
343,20200424,1
343,20200427,1
343,20200428,1
343,20200429,1
343,20200430,1
343,20200501,1
343,20200502,1
343,20200504,1
343,20200505,1
343,20200506,1
343,20200507,1
343,20200508,1
343,20200509,1
343,20200511,1
343,20200512,1
343,20200513,1
343,20200514,1
343,20200515,1
344,20200427,1
352,20200421,2
352,20200422,2
352,20200423,2
352,20200424,2
352,20200427,2
352,20200428,2
353,20200427,2
370,20200421,1
370,20200422,1
370,20200423,1
370,20200424,1
370,20200428,1
370,20200429,1
370,20200430,1
370,20200501,1
370,20200504,1
370,20200505,1
370,20200506,1
370,20200507,1
370,20200508,1
370,20200511,1
370,20200512,1
370,20200513,1
370,20200514,1
370,20200515,1
371,20200421,1
371,20200422,1
371,20200423,1
371,20200424,1
371,20200428,1
371,20200429,1
371,20200430,1
371,20200501,1
371,20200504,1
371,20200505,1
371,20200506,1
371,20200507,1
371,20200508,1
371,20200511,1
371,20200512,1
371,20200513,1
371,20200514,1
371,20200515,1
372,20200421,1
372,20200422,1
372,20200423,1
372,20200424,1
372,20200428,1
372,20200429,1
372,20200430,1
372,20200501,1
372,20200504,1
372,20200505,1
372,20200506,1
372,20200507,1
372,20200508,1
372,20200511,1
372,20200512,1
372,20200513,1
372,20200514,1
372,20200515,1
373,20200421,1
373,20200422,1
373,20200423,1
373,20200424,1
373,20200428,1
373,20200429,1
373,20200430,1
373,20200501,1
373,20200504,1
373,20200505,1
373,20200506,1
373,20200507,1
373,20200508,1
373,20200511,1
373,20200512,1
373,20200513,1
373,20200514,1
373,20200515,1
375,20200427,1
376,20200427,1
377,20200427,1
378,20200427,1
379,20200427,1
380,20200427,1
394,20200421,1
394,20200422,1
394,20200423,1
394,20200424,1
394,20200427,1
394,20200428,1
394,20200429,1
394,20200430,1
394,20200501,1
394,20200504,1
394,20200505,1
394,20200506,1
