route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
CRS-CAR-944,71,665686,1,Alexandra St/Robinson St,42025
CRS-CAR-944,73,665687,1,Alexandra St/Robinson St,42025
CRS-CAR-944,476,665688,1,Alexandra St/Robinson St,42025
CRS-CAR-944,71,665689,1,Alexandra St/Robinson St,42025
CRS-CAR-944,73,665690,1,Alexandra St/Robinson St,42025
CRS-CAR-944,476,665691,1,Alexandra St/Robinson St,42025
TRA-TRA-2150,240,798232,0,Kalgoorlie,44573
TRA-TRA-2164,250,797949,1,Albany,44574
TRA-TRA-2178,242,798721,1,Geraldton,44609
TRA-TRA-2178,241,798722,0,East Perth,44610
TRA-TRA-2179,248,798723,1,Meekatharra,44611
TRA-TRA-2179,249,798724,0,Geraldton,44612
SCT-ROC-1816,14,719858,0,Kwinana Stn,44625
SCT-ROC-1816,14,719859,0,Kwinana Stn,44625
SCT-ROC-1816,14,719860,0,Kwinana Stn,44625
SCT-ROC-1816,14,719861,0,Kwinana Stn,44625
SCT-ROC-1816,14,719862,0,Kwinana Stn,44625
SCT-ROC-1816,14,719863,0,Kwinana Stn,44625
SCT-ROC-1816,14,719864,0,Kwinana Stn,44625
SCT-ROC-1816,14,719865,0,Kwinana Stn,44625
SCT-ROC-1816,14,719866,0,Kwinana Stn,44625
SCT-ROC-1816,14,719867,0,Kwinana Stn,44625
SCT-ROC-1816,14,719868,0,Kwinana Stn,44625
SCT-ROC-1816,21,719869,0,Kwinana Stn,44625
SCT-ROC-1816,21,719870,0,Kwinana Stn,44625
SCT-ROC-1816,21,719871,0,Kwinana Stn,44625
SCT-ROC-1816,21,719872,0,Kwinana Stn,44625
SCT-ROC-1816,21,719873,0,Kwinana Stn,44625
SCT-ROC-1818,14,719998,1,Wellard Stn,44629
SCT-ROC-1818,14,719999,1,Wellard Stn,44629
SCT-ROC-1818,14,720000,1,Wellard Stn,44629
SCT-ROC-1818,21,720001,1,Wellard Stn,44629
SCT-ROC-1818,21,720002,1,Wellard Stn,44629
SCT-ROC-1818,21,720003,1,Wellard Stn,44629
SCT-ROC-1818,14,720049,0,Kwinana Stn,44631
SCT-ROC-1818,14,720050,0,Kwinana Stn,44631
SCT-ROC-1818,14,720051,0,Kwinana Stn,44631
SCT-ROC-1818,21,720052,0,Kwinana Stn,44631
SCT-ROC-1818,21,720053,0,Kwinana Stn,44631
SCT-ROC-1818,21,720054,0,Kwinana Stn,44631
SCT-ROC-1819,14,720079,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720080,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720081,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720082,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720083,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720084,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720085,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720086,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720087,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720088,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720089,1,Kwinana Bus Stn,44632
SCT-ROC-1819,14,720090,1,Kwinana Bus Stn,44632
SCT-ROC-1819,21,720091,1,Kwinana Bus Stn,44632
SCT-ROC-1819,21,720092,1,Kwinana Bus Stn,44632
SCT-ROC-1819,21,720093,1,Kwinana Bus Stn,44632
SCT-ROC-1819,21,720094,1,Kwinana Bus Stn,44632
SCT-ROC-1819,21,720095,1,Kwinana Bus Stn,44632
SCT-ROC-1819,21,720096,1,Kwinana Bus Stn,44632
SCT-ROC-1799,14,720646,1,Safety Bay,44650
SCT-ROC-1799,14,720647,1,Safety Bay,44650
SCT-ROC-1799,14,720648,1,Safety Bay,44650
SCT-ROC-1799,14,720649,1,Safety Bay,44650
SCT-ROC-1799,14,720650,1,Safety Bay,44650
SCT-ROC-1799,14,720651,1,Safety Bay,44650
SCT-ROC-1799,14,720652,1,Safety Bay,44650
SCT-ROC-1799,14,720653,1,Safety Bay,44650
SCT-ROC-1799,14,720654,1,Safety Bay,44650
SCT-ROC-1799,14,720655,1,Safety Bay,44650
SCT-ROC-1799,14,720656,1,Safety Bay,44650
SCT-ROC-1799,14,720657,1,Safety Bay,44650
SCT-ROC-1799,14,720658,1,Safety Bay,44650
SCT-ROC-1799,14,720659,1,Safety Bay,44650
SCT-ROC-1799,21,720660,1,Safety Bay,44650
SCT-ROC-1799,21,720661,1,Safety Bay,44650
SCT-ROC-1799,21,720662,1,Safety Bay,44650
SCT-ROC-1799,21,720663,1,Safety Bay,44650
SCT-ROC-1799,21,720664,1,Safety Bay,44650
SCT-ROC-1799,21,720665,1,Safety Bay,44650
SCT-ROC-1799,21,720666,1,Safety Bay,44650
SCT-ROC-1799,21,720667,1,Safety Bay,44650
SCT-ROC-1799,21,720668,1,Safety Bay,44650
SCT-ROC-1799,21,720669,1,Safety Bay,44650
SCT-ROC-1799,21,720670,1,Safety Bay,44650
SCT-ROC-1799,14,720671,1,Safety Bay,44650
SCT-ROC-1855,14,720791,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720792,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720793,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720794,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720795,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720796,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720797,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720798,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720799,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720800,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720801,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720802,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720803,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720804,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720805,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720806,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720807,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720808,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720809,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720810,1,Rockingham General Hospital,44656
SCT-ROC-1855,21,720811,1,Rockingham General Hospital,44656
SCT-ROC-1855,14,720827,0,Rockingham Stn,44658
SCT-ROC-1855,14,720828,0,Rockingham Stn,44658
SCT-ROC-1855,14,720829,0,Rockingham Stn,44658
SCT-ROC-1855,14,720830,0,Rockingham Stn,44658
SCT-ROC-1855,14,720831,0,Rockingham Stn,44658
SCT-ROC-1855,14,720832,0,Rockingham Stn,44658
SCT-ROC-1855,14,720833,0,Rockingham Stn,44658
SCT-ROC-1855,14,720834,0,Rockingham Stn,44658
SCT-ROC-1855,14,720835,0,Rockingham Stn,44658
SCT-ROC-1855,14,720836,0,Rockingham Stn,44658
SCT-ROC-1855,14,720837,0,Rockingham Stn,44658
SCT-ROC-1855,21,720838,0,Rockingham Stn,44658
SCT-ROC-1855,21,720839,0,Rockingham Stn,44658
SCT-ROC-1855,21,720840,0,Rockingham Stn,44658
SCT-ROC-1855,21,720841,0,Rockingham Stn,44658
SCT-ROC-1855,21,720842,0,Rockingham Stn,44658
SCT-ROC-1855,21,720843,0,Rockingham Stn,44658
SCT-ROC-1855,21,720844,0,Rockingham Stn,44658
SCT-ROC-1855,21,720845,0,Rockingham Stn,44658
SCT-ROC-1855,21,720846,0,Rockingham Stn,44658
SCT-ROC-1855,21,720847,0,Rockingham Stn,44658
SWA-MSH-2094,14,731665,1,Midland Stn,45261
SWA-MSH-2094,14,731666,1,Midland Stn,45261
SWA-MSH-2094,14,731667,1,Midland Stn,45261
SWA-MSH-2094,14,731668,1,Midland Stn,45261
SWA-MSH-2094,14,731669,1,Midland Stn,45261
SWA-MSH-2094,14,731670,1,Midland Stn,45261
SWA-MSH-2094,14,731671,1,Midland Stn,45261
SWA-MSH-2094,14,731672,1,Midland Stn,45261
SWA-MSH-2094,14,731673,1,Midland Stn,45261
SWA-MSH-2094,14,731674,1,Midland Stn,45261
SWA-MSH-2094,14,731675,1,Midland Stn,45261
SWA-MSH-2094,14,731676,1,Midland Stn,45261
SWA-MSH-2094,14,731677,1,Midland Stn,45261
SWA-MSH-2094,14,731678,1,Midland Stn,45261
SWA-MSH-2094,14,731679,1,Midland Stn,45261
SWA-MSH-2094,14,731680,1,Midland Stn,45261
SWA-MSH-2094,14,731681,1,Midland Stn,45261
SWA-MSH-2094,14,731682,1,Midland Stn,45261
SWA-MSH-2094,14,731683,1,Midland Stn,45261
SWA-MSH-2094,14,731684,1,Midland Stn,45261
SWA-MSH-2094,14,731685,1,Midland Stn,45261
SWA-MSH-2094,14,731686,1,Midland Stn,45261
SWA-MSH-2094,14,731687,1,Midland Stn,45261
SWA-MSH-2094,14,731688,1,Midland Stn,45261
TRA-TRA-2180,233,798719,1,Hopetoun,45486
TRA-TRA-2180,234,798720,0,Albany,45487
CRS-CAR-943,71,795257,1,Mungullah Village,47681
CRS-CAR-943,476,795258,1,Mungullah Village,47681
CRS-CAR-943,73,795259,1,Mungullah Village,47681
CRS-CAR-943,71,796276,1,Mungullah Village,47681
CRS-CAR-943,71,796277,1,Mungullah Village,47681
CRS-CAR-943,476,796278,1,Mungullah Village,47681
CRS-CAR-943,73,796279,1,Mungullah Village,47681
CRS-CAR-943,476,796280,1,Mungullah Village,47681
CRS-CAR-943,73,796281,1,Mungullah Village,47681
TRA-TRA-2173,224,797945,1,Albany,47704
TRA-TRA-2173,223,797969,1,East Perth,47706
TRA-TRA-2177,243,797938,1,Geraldton,47721
CRS-CAR-946,71,796301,1,Alexandra St/Robinson St,47727
CRS-CAR-946,71,796302,1,Alexandra St/Robinson St,47727
CRS-CAR-946,73,796303,1,Alexandra St/Robinson St,47727
CRS-CAR-946,476,796304,1,Alexandra St/Robinson St,47727
CRS-CAR-946,73,796305,1,Alexandra St/Robinson St,47727
CRS-CAR-946,476,796306,1,Alexandra St/Robinson St,47727
TRA-TRA-2147,266,797916,1,Esperance,47732
TRA-TRA-2147,264,797917,1,Esperance,47733
TRA-TRA-2147,265,797919,0,East Perth,47735
TRA-TRA-2150,238,797920,1,Esperance,47736
TRA-TRA-2150,237,797921,1,Esperance,47737
TRA-TRA-2150,239,797922,0,Kalgoorlie,47738
TRA-TRA-2146,262,797931,1,Esperance,47739
TRA-TRA-2146,268,797932,1,Esperance,47740
TRA-TRA-2146,263,797933,0,East Perth,47741
TRA-TRA-2146,269,797934,0,East Perth,47742
TRA-TRA-2147,267,831291,0,East Perth,49480
CRS-CAR-943,71,862919,0,Carnarvon,50554
CRS-CAR-943,476,862920,0,Carnarvon,50554
CRS-CAR-943,476,862921,0,Carnarvon,50554
CRS-CAR-943,71,862923,0,Carnarvon,50554
CRS-CAR-943,73,862925,0,Carnarvon,50554
CRS-CAR-943,73,862926,0,Carnarvon,50554
STR-BSN-3232,473,866017,1,Dunsborough,50646
STR-BSN-3232,473,866024,1,Hansen St / Cape Naturaliste Rd,50649
STR-BSN-3232,473,866034,0,Busselton,50651
STR-BSN-3232,494,866036,0,Busselton,50653
STR-BSN-3232,473,866043,0,Busselton,50655
STR-BSN-3233,473,866069,1,Cape Naturaliste College,50658
STR-BSN-3233,473,866070,0,Busselton,50659
TRA-TRA-2160,207,891588,1,Augusta,52170
TRA-TRA-2160,210,891591,1,East Perth,52173
TRA-TRA-2160,211,891592,0,East Perth,52174
TRA-TRA-3528,337,898652,1,Midland,52226
TRA-TRA-3528,336,898653,1,Northam,52227
TRA-TRA-145,342,899818,1,Kalgoorlie,52234
TRA-TRA-145,343,899819,1,East Perth,52235
TRA-TRA-145,344,899816,1,Kalgoorlie,52239
TRA-TRA-2174,217,935390,1,Albany,53985
TRA-TRA-2174,218,935391,0,Perth,53986
TRA-TRA-2174,219,935392,1,Albany,53987
TRA-TRA-2174,220,935393,0,Perth,53988
SCT-ROC-1819,14,935422,0,Kwinana Stn,53992
SCT-ROC-1819,14,935423,0,Kwinana Stn,53992
SCT-ROC-1819,14,935424,0,Kwinana Stn,53992
SCT-ROC-1819,14,935425,0,Kwinana Stn,53992
SCT-ROC-1819,14,935426,0,Kwinana Stn,53992
SCT-ROC-1819,14,935427,0,Kwinana Stn,53992
SCT-ROC-1819,14,935428,0,Kwinana Stn,53992
SCT-ROC-1819,14,935429,0,Kwinana Stn,53992
